"Attained Age","Policies","Exposure","Deaths_Num","Deaths_Amt","EDeaths_Num_QX2001VBT","EDeaths_Amt_QX2001VBT","EDeaths_Num_QX2008VBT","EDeaths_Amt_QX2008VBT","EDeaths_Num_QX2008VBTLU","EDeaths_Amt_QX2008VBTLU","EDeaths_Num_QX2015VBT","EDeaths_Amt_QX2015VBT","EDeaths_Num_QX7580E","EDeaths_Amt_QX7580E","Deaths_Num_Cap","AE_Num_QX2001VBT","AE_Amt_QX2001VBT","AE_Num_QX2008VBT","AE_Amt_QX2008VBT","AE_Num_QX2008VBTLU","AE_Amt_QX2008VBTLU","AE_Num_QX2015VBT","AE_Amt_QX2015VBT","AE_Num_QX7580E","AE_Amt_QX7580E","Cred_AE_Num_QX2001VBT","Cred_AE_Amt_QX2001VBT","Cred_AE_Num_QX2008VBT","Cred_AE_Amt_QX2008VBT","Cred_AE_Num_QX2008VBTLU","Cred_AE_Amt_QX2008VBTLU","Cred_AE_Num_QX2015VBT","Cred_AE_Amt_QX2015VBT","Cred_AE_Num_QX7580E","Cred_AE_Amt_QX7580E"
43,6903902.891545,2405446970246.37,6366,1206457284,8001.05661874981,2334042048.9039,6053.94230583417,1610719331.96661,10139.2607946307,2961026574.74395,5652.98620341917,1437338568.76021,12298.7345883256,4091305616.36231,3007,0.795644913333298,0.51689612214423,1.05154619558649,0.74901769666288,0.627856421581655,0.407445611697803,1.12613046820273,0.839368893468598,0.517614227242763,0.294883197963757,0.795644913333298,0.51689612214423,1.05154619558649,0.74901769666288,0.627856421581655,0.407445611697803,1.12613046820273,0.839368893468598,0.517614227242763,0.294883197963757
44,7071074.081834,2417617218221.53,7230,1433437713,9206.55560017766,2647019515.34228,6817.69756671021,1797754181.76013,11338.4903090349,3282317385.58495,6143.81162766135,1564400539.11316,13966.4541583556,4567747081.50018,3007,0.785309980625163,0.541528955374794,1.06047531872094,0.797349118997217,0.637651027865579,0.436715145005559,1.17679389248334,0.91628561686165,0.517668974388502,0.313817224864652,0.785309980625163,0.541528955374794,1.06047531872094,0.797349118997217,0.637651027865579,0.436715145005559,1.17679389248334,0.91628561686165,0.517668974388502,0.313817224864652
45,7191295.059283,2393829471623.43,8138,1495399550,10531.7917255891,2962113554.29741,7621.74332106697,1973486336.15416,12601.1056945121,3581588260.93548,6656.92316787994,1668643557.914,15735.9276152128,5010604764.4649,3007,0.772708026520035,0.504842073940915,1.06773472382704,0.7577450740876,0.645816343207419,0.417524137632006,1.22248669464391,0.896176743623679,0.517160487706651,0.298446918145558,0.772708026520035,0.504842073940915,1.06773472382704,0.7577450740876,0.645816343207419,0.417524137632006,1.22248669464391,0.896176743623679,0.517160487706651,0.298446918145558
46,7324508.032487,2365509641760.01,8794,1658799099,11986.2548857675,3279952786.73429,8575.60368244402,2165548550.19593,14071.3028911919,3905798620.85079,7356.32974529147,1811742220.81199,17696.3249696194,5460964125.02733,3007,0.733673702404079,0.505738712370795,1.02546716541986,0.765994878687859,0.624959896606639,0.424701644919591,1.19543309020762,0.915582294183418,0.496939337127755,0.303755721704489,0.733673702404079,0.505738712370795,1.02546716541986,0.765994878687859,0.624959896606639,0.424701644919591,1.19543309020762,0.915582294183418,0.496939337127755,0.303755721704489
47,7488824.797965,2342202354150.94,9976,1770509582,13569.7421113827,3598329427.7803,9703.8100841093,2382335806.01524,15782.3075159582,4259117157.35675,8176.39466789173,1971043126.717,19900.4163623927,5939101027.57692,3007,0.735165039844921,0.492036545717876,1.02804979832988,0.74318220694563,0.632100216645305,0.415698727362268,1.22009765981273,0.898260194310913,0.50129604417988,0.298110702912617,0.735165039844921,0.492036545717876,1.02804979832988,0.74318220694563,0.632100216645305,0.415698727362268,1.22009765981273,0.898260194310913,0.50129604417988,0.298110702912617
48,7667803.785991,2319536353885.55,11479,1998525426,15245.2526427689,3910256346.1572,10988.2535630627,2615008581.11471,17727.5662840469,4640831771.19133,9123.64075145963,2144738798.15209,22357.8350607562,6439653888.31284,3007,0.752955708178751,0.511098314043796,1.044661004055,0.76425195711904,0.647522610609556,0.430639489758312,1.25816001667575,0.931826956141201,0.51342180353359,0.310346714382751,0.752955708178751,0.511098314043796,1.044661004055,0.76425195711904,0.647522610609556,0.430639489758312,1.25816001667575,0.931826956141201,0.51342180353359,0.310346714382751
49,7827857.569156,2285846000695.81,12990,2249741208,17064.5070875347,4219409451.57204,12392.8217322377,2850206968.34215,19842.0853562919,5025159899.5432,10164.4927289909,2318269747.51146,24968.8718847723,6920095410.83984,3007,0.761229136790536,0.533188644956418,1.04818743306933,0.789325558806202,0.654669091819065,0.447695447104978,1.27797818802607,0.970439790457938,0.520247773305376,0.325102628567222,0.761229136790536,0.533188644956418,1.04818743306933,0.789325558806202,0.654669091819065,0.447695447104978,1.27797818802607,0.970439790457938,0.520247773305376,0.325102628567222
50,7944922.901483,2238892374139.72,14558,2215036423,19087.9787539982,4540274881.91778,13884.0295945228,3079038586.14508,22045.7862930452,5381307289.47218,11307.8370904877,2497243224.96785,27692.6084560117,7370112135.51537,3007,0.762678971284514,0.487863946701038,1.04854285284317,0.719392226186162,0.660352949379384,0.411616788235347,1.2874256927743,0.886992664892909,0.525699845976035,0.300543110100876,0.762678971284514,0.487863946701038,1.04854285284317,0.719392226186162,0.660352949379384,0.411616788235347,1.2874256927743,0.886992664892909,0.525699845976035,0.300543110100876
51,7975000.07003,2159253481693.61,16357,2526984254,21274.9740153766,4853169325.51609,15410.9650047558,3282756350.59026,24257.1819440656,5689152898.61285,12504.2960634606,2658094064.72227,30403.9648459909,7736962207.60555,3007,0.768837601784046,0.52068742805121,1.06138713539044,0.769775147505428,0.674315756781536,0.444175837604248,1.3081104219691,0.950675255453772,0.537989044614911,0.326611942283489,0.768837601784046,0.52068742805121,1.06138713539044,0.769775147505428,0.674315756781536,0.444175837604248,1.3081104219691,0.950675255453772,0.537989044614911,0.326611942283489
52,7961153.819964,2063964409476.84,17733,2519065344,23672.0655264618,5142702959.16697,17005.4035527128,3462416014.19812,26514.7950429624,5943138943.00392,13807.5097051441,2811415007.73977,33224.7216160677,8046422819.22551,3007,0.749110802358046,0.489832946604415,1.04278619116752,0.727545544403162,0.668796419933358,0.423861088922608,1.28430110705578,0.896013337435086,0.533729076948058,0.313066489369803,0.749110802358046,0.489832946604415,1.04278619116752,0.727545544403162,0.668796419933358,0.423861088922608,1.28430110705578,0.896013337435086,0.533729076948058,0.313066489369803
53,7925552.539452,1963146350873.54,19072,2752144229,26306.1242540071,5428048400.07099,18712.6836838317,3633064520.39294,28903.225846659,6175340079.54793,15231.3599815831,2962638869.01796,36254.3402318424,8334363898.33468,3007,0.725002277638632,0.507022787225701,1.01920175225741,0.757526934507164,0.659857141939213,0.445666828635853,1.25215345333974,0.928950287455138,0.526061152348566,0.330216470335537,0.725002277638632,0.507022787225701,1.01920175225741,0.757526934507164,0.659857141939213,0.445666828635853,1.25215345333974,0.928950287455138,0.526061152348566,0.330216470335537
54,7860160.711671,1857077218335.34,20889,2779206876,29113.91570473,5679435939.96825,20453.9861069415,3779015507.97308,31301.0970823706,6357194120.38502,16721.7077404114,3096574456.66961,39356.4926410616,8557179168.28531,3007,0.717491944809273,0.489345580331616,1.02126792747311,0.735431455662551,0.66735680046707,0.437175084380101,1.24921451351034,0.897510108311447,0.530763759629485,0.324780727543992,0.717491944809273,0.489345580331616,1.02126792747311,0.735431455662551,0.66735680046707,0.437175084380101,1.24921451351034,0.897510108311447,0.530763759629485,0.324780727543992
55,7758365.900064,1745383198429.07,22859,2855427315,32065.741226374,5907367522.39364,22231.3891662327,3898012422.61869,33706.2904591745,6486884485.23249,18234.7592083301,3209657812.09972,42528.9375509131,8732829313.96318,3007,0.712879201469963,0.483367135052229,1.02823084194489,0.732534175219924,0.678182015540605,0.440184702147916,1.25359483713706,0.889636055356322,0.537492853486749,0.326976196641605,0.712879201469963,0.483367135052229,1.02823084194489,0.732534175219924,0.678182015540605,0.440184702147916,1.25359483713706,0.889636055356322,0.537492853486749,0.326976196641605
56,7626985.956744,1631477764078.78,24522,2950982426,35180.7017448667,6127189328.18414,24076.1118630236,4003895826.27223,36174.4710219672,6588496144.72964,19833.8813270408,3320308144.53,45902.3472435401,8903542991.86095,3007,0.697029871030871,0.481620897925567,1.018519939578,0.737027773459198,0.677881370680136,0.447899241522755,1.2363692005441,0.888767637684942,0.534221046908468,0.331439116843441,0.697029871030871,0.481620897925567,1.018519939578,0.737027773459198,0.677881370680136,0.447899241522755,1.2363692005441,0.888767637684942,0.534221046908468,0.331439116843441
57,7463677.874123,1517640840353.4,26476,3145929267,38120.586812694,6268887152.58477,25966.6284926621,4096196549.27177,38695.43172222,6668957293.74572,21496.7799633394,3420289668.28805,49363.4840747053,9050770816.22204,3007,0.69453285517587,0.501832173785882,1.01961638983982,0.768012283873265,0.684215133973986,0.471727307348379,1.23162632008851,0.919784454564816,0.536347879333882,0.347586888551131,0.69453285517587,0.501832173785882,1.01961638983982,0.768012283873265,0.684215133973986,0.471727307348379,1.23162632008851,0.919784454564816,0.536347879333882,0.347586888551131
58,7254202.150586,1397629507098.87,28368,3249530806,40627.8013009317,6298926055.34314,27852.4152682706,4154394947.95573,41124.3807532693,6680780143.91297,23185.7043369964,3494042672.98504,52855.9912084146,9146008386.74948,3007,0.698241083485594,0.5158864824653,1.01851131138048,0.782191112474516,0.689809779026151,0.486399901807984,1.2235125397823,0.930020354680972,0.536703585562195,0.355294973346826,0.698241083485594,0.5158864824653,1.01851131138048,0.782191112474516,0.689809779026151,0.486399901807984,1.2235125397823,0.930020354680972,0.536703585562195,0.355294973346826
